id,name,officialNameStatus,programmeComponent,measureType,scaleDisplay,normalizedFormula,denominatorPopulation,sourceDocument,sourceSection,sourceItemCode,sourcePage,reportingLevel,lowestReportingLevel,whoPillars,relatedElementIds,relatedIndicatorIds,crosswalkStatus,url
IND-UIP3-046,Percent of routine reports (zero reports) received on time,Verbatim source-table/text label,AEFI surveillance,Percentage/proportion,%,(numerator ÷ denominator) × 100,Expected routine zero reports,Adverse Event Following Immunization: Surveillance and Response Operational Guidelines 2024 — Executive Summary,Monitoring of AEFI surveillance,AEFI-R-01,Executive summary PDF pages 5–6,PHC/block; district; state; national,PHC/block,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://cdsco.mohfw.gov.in/opencms/opencms/en/Post-Marketing-DSM/
IND-UIP3-047,Percent of AEFI cases line listed,Verbatim source-table/text label,AEFI surveillance,Percentage/proportion,%,(numerator ÷ denominator) × 100,Reported AEFI cases,Adverse Event Following Immunization: Surveillance and Response Operational Guidelines 2024 — Executive Summary,Monitoring of AEFI surveillance,AEFI-R-02,Executive summary PDF pages 5–6,PHC/block; district; state; national,PHC/block,Service delivery; Health information systems,HMIS-DE-0007,,Curated concept link to existing registry/HMIS object; definitions remain separate,https://cdsco.mohfw.gov.in/opencms/opencms/en/Post-Marketing-DSM/
IND-UIP3-048,Percent of Serious AEFI cases,Verbatim source-table/text label,AEFI surveillance,Percentage/proportion,%,(numerator ÷ denominator) × 100,All reported AEFI cases,Adverse Event Following Immunization: Surveillance and Response Operational Guidelines 2024 — Executive Summary,Monitoring of AEFI surveillance,AEFI-R-03,Executive summary PDF pages 5–6,PHC/block; district; state; national,PHC/block,Service delivery; Health information systems,HMIS-DE-0296; HMIS-DE-0297; HMIS-DE-0298,,Curated concept link to existing registry/HMIS object; definitions remain separate,https://cdsco.mohfw.gov.in/opencms/opencms/en/Post-Marketing-DSM/
IND-UIP3-049,Percent of Serious AEFI cases reported on time,Verbatim source-table/text label,AEFI surveillance,Percentage/proportion,%,(numerator ÷ denominator) × 100,Serious AEFI cases identified,Adverse Event Following Immunization: Surveillance and Response Operational Guidelines 2024 — Executive Summary,Monitoring of AEFI surveillance,AEFI-S-01,Executive summary PDF pages 5–6,PHC/block; district; state; national,PHC/block,Service delivery; Health information systems,HMIS-DE-0296,,Curated concept link to existing registry/HMIS object; definitions remain separate,https://cdsco.mohfw.gov.in/opencms/opencms/en/Post-Marketing-DSM/
IND-UIP3-050,Percent serious AEFI cases with Case Reporting Form (CRF) shared with the state and centre on time,Verbatim source-table/text label,AEFI surveillance,Percentage/proportion,%,(numerator ÷ denominator) × 100,Serious AEFI cases requiring a Case Reporting Form,Adverse Event Following Immunization: Surveillance and Response Operational Guidelines 2024 — Executive Summary,Monitoring of AEFI surveillance,AEFI-S-02,Executive summary PDF pages 5–6,PHC/block; district; state; national,PHC/block,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://cdsco.mohfw.gov.in/opencms/opencms/en/Post-Marketing-DSM/
IND-UIP3-051,Percent of Serious AEFI cases investigated on time,Verbatim source-table/text label,AEFI surveillance,Percentage/proportion,%,(numerator ÷ denominator) × 100,Serious AEFI cases requiring investigation,Adverse Event Following Immunization: Surveillance and Response Operational Guidelines 2024 — Executive Summary,Monitoring of AEFI surveillance,AEFI-S-03,Executive summary PDF pages 5–6,PHC/block; district; state; national,PHC/block,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://cdsco.mohfw.gov.in/opencms/opencms/en/Post-Marketing-DSM/
IND-UIP3-052,Percent of Serious AEFI cases with completed investigation,Verbatim source-table/text label,AEFI surveillance,Percentage/proportion,%,(numerator ÷ denominator) × 100,Serious AEFI cases requiring investigation,Adverse Event Following Immunization: Surveillance and Response Operational Guidelines 2024 — Executive Summary,Monitoring of AEFI surveillance,AEFI-S-04,Executive summary PDF pages 5–6,PHC/block; district; state; national,PHC/block,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://cdsco.mohfw.gov.in/opencms/opencms/en/Post-Marketing-DSM/
IND-UIP3-053,Percent of Serious AEFI cases classified for causality by the state AEFI Committee on time,Verbatim source-table/text label,AEFI surveillance,Percentage/proportion,%,(numerator ÷ denominator) × 100,Serious AEFI cases eligible for causality classification,Adverse Event Following Immunization: Surveillance and Response Operational Guidelines 2024 — Executive Summary,Monitoring of AEFI surveillance,AEFI-S-05,Executive summary PDF pages 5–6,PHC/block; district; state; national,PHC/block,Service delivery; Health information systems; Leadership and governance,,,No reviewed registry crosswalk yet,https://cdsco.mohfw.gov.in/opencms/opencms/en/Post-Marketing-DSM/
IND-UIP3-054,Coverage for an antigen at any time,Verbatim source-table/text label,Routine coverage and dropout monitoring,Percentage/proportion,%,(numerator ÷ denominator) × 100,Yearly target population for the antigen,Immunization Handbook for Medical Officers,Unit 7: Sources and use of data — Coverage Monitoring Chart,RI-01,PDF pages 203–205 (printed pages 171–173),Sub-centre; PHC/block; district; state; national,Sub-centre,Service delivery; Health information systems,,IND-HMIS-IND-006; IND-HMIS-IND-007; IND-HMIS-IND-008; IND-HMIS-IND-009; IND-HMIS-IND-010,Curated concept link to existing registry/HMIS object; definitions remain separate,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Immunization_Handbook_for_Medical_Officers%202017.pdf
IND-UIP3-055,Total number of dropouts,Verbatim source-table/text label,Routine coverage and dropout monitoring,Count,count,Source-defined aggregation or count,Not applicable—absolute difference between first-dose and later-dose cumulative totals,Immunization Handbook for Medical Officers,Unit 7: Sources and use of data — Coverage Monitoring Chart,RI-02,PDF pages 203–205 (printed pages 171–173),Sub-centre; PHC/block; district; state; national,Sub-centre,Service delivery; Health information systems,,,No reviewed registry crosswalk yet,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Immunization_Handbook_for_Medical_Officers%202017.pdf
IND-UIP3-056,Number of unimmunized with Penta 3,Verbatim source-table/text label,Routine coverage and dropout monitoring,Count,count,Source-defined aggregation or count,Not applicable—absolute target population minus children receiving Penta 3,Immunization Handbook for Medical Officers,Unit 7: Sources and use of data — Coverage Monitoring Chart,RI-03,PDF pages 203–205 (printed pages 171–173),Sub-centre; PHC/block; district; state; national,Sub-centre,Service delivery; Health information systems,HMIS-DE-0058; HMIS-DE-0314,,Curated concept link to existing registry/HMIS object; definitions remain separate,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Immunization_Handbook_for_Medical_Officers%202017.pdf
IND-UIP3-057,BCG- Penta 3 dropout rate,Verbatim source-table/text label,Routine coverage and dropout monitoring,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children receiving BCG,Immunization Handbook for Medical Officers,Unit 7: Sources and use of data — Coverage Monitoring Chart,RI-04,PDF pages 203–205 (printed pages 171–173),Sub-centre; PHC/block; district; state; national,Sub-centre,Service delivery; Health information systems,,IND-HMIS-IND-011,Curated concept link to existing registry/HMIS object; definitions remain separate,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Immunization_Handbook_for_Medical_Officers%202017.pdf
IND-UIP3-058,Penta 1- Penta 3 dropout rate,Verbatim source-table/text label,Routine coverage and dropout monitoring,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children receiving Penta 1,Immunization Handbook for Medical Officers,Unit 7: Sources and use of data — Coverage Monitoring Chart,RI-05,PDF pages 203–205 (printed pages 171–173),Sub-centre; PHC/block; district; state; national,Sub-centre,Service delivery; Health information systems,HMIS-DE-0056; HMIS-DE-0058,IND-HMIS-IND-012,Curated concept link to existing registry/HMIS object; definitions remain separate,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Immunization_Handbook_for_Medical_Officers%202017.pdf
IND-UIP3-059,BCG-MCV1 dropout rate,Verbatim source-table/text label,Routine coverage and dropout monitoring,Percentage/proportion,%,(numerator ÷ denominator) × 100,Children receiving BCG,Immunization Handbook for Medical Officers,Unit 7: Sources and use of data — Coverage Monitoring Chart,RI-06,PDF pages 203–205 (printed pages 171–173),Sub-centre; PHC/block; district; state; national,Sub-centre,Service delivery; Health information systems,,IND-HMIS-IND-011,Curated concept link to existing registry/HMIS object; definitions remain separate,https://www.nhm.gov.in/New_Updates_2018/NHM_Components/Immunization/Guildelines_for_immunization/Immunization_Handbook_for_Medical_Officers%202017.pdf
